Launch_Year,Num_Missions,Total_Dev_Cost,Total_Launch_Cost,Total_Ops_Cost,Total_Extension_Cost,Total_Mission_Cost,Dev_Cost_Share_Pct,Launch_Cost_Share_Pct,Ops_Cost_Share_Pct,Extension_Cost_Share_Pct
1989,1,3218.20,946.00,1005.10,154.40,5323.70,60.5,17.8,18.9,2.9
1992,2,4328.80,1545.50,1196.60,938.60,8009.50,54.0,19.3,14.9,11.7
1996,2,521.80,196.10,252.20,72.30,1042.40,50.1,18.8,24.2,6.9
1998,2,281.40,138.40,23.30,28.70,471.80,59.6,29.3,4.9,6.1
1999,3,1108.85,307.40,312.85,515.50,2244.60,49.4,13.7,13.9,23.0
2001,2,977.50,190.10,163.10,260.70,1591.40,61.4,11.9,10.2,16.4
2002,1,172.00,86.10,0.00,NULL,258.10,66.6,33.4,0.0,NULL
2004,1,363.30,115.20,145.70,86.10,710.30,51.1,16.2,20.5,12.1
2006,1,995.90,254.10,208.00,211.80,1669.80,59.6,15.2,12.5,12.7
2007,1,444.70,137.40,139.70,27.90,749.70,59.3,18.3,18.6,3.7
2011,3,3469.30,459.60,291.50,631.60,4852.10,71.5,9.5,6.0,13.0
2013,2,769.30,293.60,47.00,198.40,1308.30,58.8,22.4,3.6,15.2
2016,1,747.50,224.50,275.40,103.30,1350.70,55.3,16.6,20.4,7.6
2021,2,868.90,243.70,351.80,NULL,1464.40,59.3,16.6,24.0,NULL
2023,1,935.90,115.90,150.90,NULL,1202.70,77.8,9.6,12.5,NULL
