Mission,Initiative,Destination,Mission_Type,Launch_Vehicle,Fiscal_Year,Success,Is_Success,Is_Failure,Is_Operational,Budget_Amount,Actual_Cost,Cost_Variance,Cost_Variance_Pct,Budget_Status,Schedule_Variance_Months,Schedule_Status,PDR_to_CDR_Days,CDR_to_Launch_Days,Complexity_Score,Has_AKM,Has_Probe,Has_Cruise,Has_Aeroshield,Has_Ballast,Has_Lander,Num_Deployments,Num_Instruments,Num_Objectives,Launch_Mass_kg,Dry_Mass_kg,Fuel_Mass_kg,Instrument_Mass_kg,Fuel_Fraction_Pct,Instrument_Mass_Fraction_Pct,Power_Source,BOL_Power_W,BOM_Power_W,Instrument_Power_W,Power_Degradation_Pct,Instrument_Power_Fraction_Pct,Composite_Risk_Score,Mission_Duration_Yrs
"2001 Mars Odyssey","Mars Surveyor",Mars,Orbiter,"Delta 7925",2001,Operational,0,0,1,267.20,366.10,98.90,37.01,"4 - Major Overrun     (20-50%)",1.00,"Slightly Delayed",182,737,1,0,0,0,0,1,0,2,3,6,758.00,376.30,348.70,44.50,46.00,11.83,SA,1500.00,NULL,58.00,NULL,NULL,3.67,24.03
Cassini,Independent,Saturn,Orbiter,"Titan 4",1992,Success,1,0,0,1436.40,1375.90,-60.50,-4.21,"1 - Under Budget",18.00,"Significantly Delayed",365,867,1,0,1,0,0,0,0,4,12,8,5712.00,2581.00,3132.00,236.00,54.83,9.14,RTG,900.00,NULL,228.00,NULL,NULL,2.67,19.92
Contour,"Discovery 6",Comet,Flyby,"Delta 7425",2002,Failure,0,1,0,69.10,96.80,27.70,40.09,"4 - Major Overrun     (20-50%)",1.00,"Slightly Delayed",316,579,1,1,0,0,0,0,0,0,4,6,775.00,328.00,70.00,60.40,9.03,18.41,SA,670.00,NULL,100.00,NULL,NULL,3.67,0.00
Dart,"Planetary Def",Asteroid,Impact,"Falcon 9",2021,Success,1,0,0,219.00,258.30,39.30,17.95,"3 - Minor Overrun     (0-20%)",6.00,"Slightly Delayed",365,968,0,0,0,0,0,0,0,1,1,4,610.00,560.00,86.50,14.00,14.18,2.50,SA,6600.00,NULL,5.00,NULL,NULL,2.00,0.84
Dawn,"Discovery 9",Asteroid,Orbiter,"Delta 7925",2007,Success,1,0,0,202.80,287.10,84.30,41.57,"4 - Major Overrun     (20-50%)",16.00,"Significantly Delayed",213,1244,0,0,0,0,0,0,0,3,3,5,1217.70,747.10,470.60,46.40,38.65,6.21,SA,10300.00,1300.00,95.00,87.38,7.31,4.00,11.10
"Deep Space 1","New Millennium",Comet,Flyby,"Delta 7326",1998,Success,1,0,0,73.30,99.30,26.00,35.47,"4 - Major Overrun     (20-50%)",0.00,"On Schedule",NULL,NULL,0,0,0,0,0,0,0,2,3,4,486.30,373.70,112.60,18.20,23.15,4.87,SA,2500.00,NULL,22.00,NULL,NULL,2.00,3.15
Galileo,Independent,Jupiter,Orbiter,"STS 34",1989,Success,1,0,0,410.10,1639.00,1228.90,299.66,"5 - Critical Overrun  (>50%)",74.00,"Significantly Delayed",NULL,NULL,2,0,1,0,0,1,0,4,12,9,2380.00,1289.00,925.00,112.10,38.87,8.70,RTG,570.00,493.00,87.00,13.51,17.65,7.33,13.92
Genesis,"Discovery 5",L1,"Sample Return","Delta 7326",2001,Success,1,0,0,126.10,162.90,36.80,29.18,"4 - Major Overrun     (20-50%)",9.00,"Slightly Delayed",365,766,1,0,1,0,0,0,0,4,3,4,636.00,494.00,142.00,12.26,22.33,2.48,SA,265.00,NULL,10.00,NULL,NULL,3.67,3.09
Grail-A,"Discovery 11A",Lunar,Orbiter,"Delta 7920",2011,Success,1,0,0,213.50,224.35,10.85,5.08,"3 - Minor Overrun     (0-20%)",2.00,"Slightly Delayed",366,667,0,0,0,0,0,0,0,2,2,6,306.00,198.00,108.00,65.00,35.29,32.83,SA,700.00,NULL,191.00,NULL,NULL,2.00,1.27
Grail-B,"Discovery 11B",Lunar,Orbiter,"Delta 7920",2011,Success,1,0,0,213.50,224.35,10.85,5.08,"3 - Minor Overrun     (0-20%)",2.00,"Slightly Delayed",366,667,0,0,0,0,0,0,0,2,3,6,306.00,198.00,108.00,65.00,35.29,32.83,SA,700.00,NULL,191.00,NULL,NULL,2.00,1.27
Juno,"New Frontiers 2",Jupiter,Orbiter,"Atlas 5",2006,Success,1,0,0,700.00,1114.10,414.10,59.16,"5 - Critical Overrun  (>50%)",26.00,"Significantly Delayed",335,767,0,0,0,0,0,0,0,4,10,5,3625.00,1593.00,2032.00,154.86,56.06,9.72,SA,14000.00,500.00,124.00,96.43,24.80,6.00,13.94
